,episode_ids,id,url,name,season,number,type,airdate,airtime,airstamp,runtime,rating,summary
658,658,2024910,https://www.tvmaze.com/episodes/2024910/el-anesa-farah-2x17-episode-17,Episode 17,2.0,17.0,regular,2020-12-07,,2020-12-07,40.0,,
659,659,2043301,https://www.tvmaze.com/episodes/2043301/the-college-tour-1x02-florida-tech,Florida Tech,1.0,2.0,regular,2020-12-07,,2020-12-07,32.0,,"Experience extreme academics and unbeatable fun-in-the-sun at Florida Institute of Technology in Melbourne, FL - a short drive from the beach, Kennedy Space Center, and big opportunities. Learn about the university's hands-on degree programs, life on campus, and what it means to be a Florida Tech Panther. We'll take you underwater, into the sky, behind the wheel of a jet dragster and to Mars!<br /> "
660,660,2079005,https://www.tvmaze.com/episodes/2079005/the-silent-criminal-1x09-episode-9,Episode 9,1.0,9.0,regular,2020-12-07,,2020-12-07,37.0,,
661,661,2079006,https://www.tvmaze.com/episodes/2079006/the-silent-criminal-1x10-episode-10,Episode 10,1.0,10.0,regular,2020-12-07,,2020-12-07,37.0,,
662,662,2195410,https://www.tvmaze.com/episodes/2195410/struggle-meals-1x01-party-for-pennies,Party for Pennies,1.0,1.0,regular,2020-12-07,,2020-12-07,20.0,,
663,663,2211134,https://www.tvmaze.com/episodes/2211134/tunelis-1x01-episode-1,Episode 1,1.0,1.0,regular,2020-12-07,,2020-12-07,50.0,,
664,664,2211135,https://www.tvmaze.com/episodes/2211135/tunelis-1x02-episode-2,Episode 2,1.0,2.0,regular,2020-12-07,,2020-12-07,50.0,,
665,665,2318099,https://www.tvmaze.com/episodes/2318099/bride-of-beirut-2x43-episode-43,Episode 43,2.0,43.0,regular,2020-12-07,,2020-12-07,45.0,,
666,666,1991529,https://www.tvmaze.com/episodes/1991529/conversa-com-bial-4x146-adriana-calcanhotto,Adriana Calcanhotto,4.0,146.0,regular,2020-12-07,,2020-12-07,,,
667,667,1980720,https://www.tvmaze.com/episodes/1980720/sj-returns-4x79-episode-79,Episode 79,4.0,79.0,regular,2020-12-07,00:00,2020-12-07,5.0,,
668,668,1965646,https://www.tvmaze.com/episodes/1965646/cukur-4x14-selime-veda,Selim'e Veda,4.0,14.0,regular,2020-12-07,19:00,2020-12-07,130.0,,
669,669,1969061,https://www.tvmaze.com/episodes/1969061/rooster-teeth-podcast-2020-12-07-gavins-made-up-sweet-caroline-lyrics-626,Gavin's Made Up Sweet Caroline Lyrics - #626,,49.0,regular,2020-12-07,,2020-12-07,90.0,,"Join Gus Sorola, Gavin Free, Blaine Gibson, and Barbara Dunkelman as they discuss Gus's trash internet, trying not to spoil Mandalorian, Dominick the stupid Christmas Donkey, and more on this week's RT Podcast!"
670,670,1995451,https://www.tvmaze.com/episodes/1995451/rooster-teeth-animated-adventures-2020-12-07-gavins-land,Gavins Land,,49.0,regular,2020-12-07,,2020-12-07,2.0,,
671,671,2005523,https://www.tvmaze.com/episodes/2005523/this-week-in-tech-2020-12-07-its-coming-from-leo2-salesforce-buys-slack-warner-bros-hbo-max-deal-ajit-pai-timnit-gebru,"It's Coming from Leo2 - Salesforce buys Slack, Warner Bros' HBO Max deal, Ajit Pai, Timnit Gebru",,49.0,regular,2020-12-07,,2020-12-07,120.0,,
672,672,1977576,https://www.tvmaze.com/episodes/1977576/atop-the-fourth-wall-12x45-awesome-comics-holiday-special-1,Awesome Comics Holiday Special #1,12.0,45.0,regular,2020-12-07,,2020-12-07,25.0,,
673,673,2036537,https://www.tvmaze.com/episodes/2036537/raw-talk-4x28-december-7-2020,"December 7, 2020",4.0,28.0,regular,2020-12-07,,2020-12-07,30.0,,
674,674,2014192,https://www.tvmaze.com/episodes/2014192/true-colors-1x04-alex-rodriguez,Alex Rodriguez,1.0,4.0,regular,2020-12-07,,2020-12-07,12.0,,"From humble beginnings to legendary baseball player and current CEO, A-Rod shares his success story."
675,675,1960031,https://www.tvmaze.com/episodes/1960031/goede-tijden-slechte-tijden-31x57-aflevering-6312,Aflevering 6312,31.0,57.0,regular,2020-12-07,20:00,2020-12-07,23.0,,
676,676,1986262,https://www.tvmaze.com/episodes/1986262/frusna-vagar-6x07-episode-7,Episode 7,6.0,7.0,regular,2020-12-07,20:00,2020-12-07,60.0,,
