,shows_id,time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
296,365,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
297,368,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
298,370,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
299,371,19:30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
300,372,08:10,0.0,0.0,0.0,0.0,0.0,0.0,1.0
301,374,12:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0
302,375,,0.0,0.0,0.0,1.0,1.0,1.0,0.0
303,376,12:00,0.0,0.0,0.0,1.0,1.0,0.0,0.0
304,378,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
305,379,19:00,0.0,0.0,0.0,1.0,1.0,0.0,0.0
306,380,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
307,381,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
308,382,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
309,384,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
310,385,,0.0,0.0,0.0,1.0,1.0,1.0,0.0
311,387,,1.0,0.0,0.0,1.0,1.0,1.0,1.0
312,388,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
313,393,20:55,0.0,1.0,0.0,0.0,0.0,0.0,0.0
314,394,21:20,0.0,1.0,0.0,0.0,0.0,0.0,0.0
315,396,21:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0
316,397,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
317,398,12:00,1.0,0.0,1.0,0.0,1.0,0.0,1.0
318,400,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
319,404,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
320,408,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
321,409,,0.0,1.0,0.0,0.0,1.0,0.0,0.0
322,410,18:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0
323,411,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
324,413,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
325,415,00:01,0.0,0.0,0.0,0.0,1.0,0.0,0.0
326,416,20:50,0.0,0.0,0.0,0.0,1.0,0.0,0.0
327,417,21:00,0.0,0.0,0.0,0.0,1.0,0.0,0.0
328,418,21:00,0.0,0.0,0.0,0.0,1.0,1.0,0.0
329,419,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
330,420,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
331,421,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
332,422,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
333,423,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
334,426,12:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0
335,427,21:00,0.0,0.0,0.0,0.0,0.0,1.0,0.0
336,428,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
337,429,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
338,430,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
339,432,18:55,0.0,0.0,0.0,1.0,0.0,0.0,0.0
340,433,,1.0,1.0,1.0,1.0,1.0,1.0,1.0
341,434,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
342,435,13:00,0.0,0.0,0.0,0.0,0.0,0.0,1.0
343,438,,0.0,0.0,0.0,0.0,0.0,0.0,1.0
344,447,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
345,448,20:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0
346,449,20:00,1.0,1.0,1.0,0.0,0.0,0.0,0.0
347,451,,1.0,0.0,0.0,0.0,0.0,0.0,0.0
348,452,,1.0,0.0,0.0,0.0,0.0,0.0,1.0
349,453,17:00,1.0,1.0,1.0,1.0,1.0,0.0,0.0
350,454,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
351,455,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
352,458,,0.0,1.0,0.0,0.0,0.0,0.0,0.0
353,462,19:00,0.0,0.0,0.0,1.0,0.0,0.0,0.0
354,463,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
355,468,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
356,469,,0.0,0.0,1.0,0.0,0.0,0.0,0.0
357,471,,0.0,0.0,1.0,1.0,1.0,1.0,1.0
358,473,22:00,1.0,1.0,1.0,1.0,0.0,0.0,0.0
359,474,,0.0,0.0,0.0,1.0,0.0,0.0,0.0
